Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Colleen Schneider,,11,7,0,,135.0,,,"Mar 12, 1982",2.17,0.48,2.5,0.5,2.5,0.5,0.6,0.0,http://www.ufcstats.com/fighter-details/aa943b9bc00cb0ed
Emiliano Sordi,He-Man,16,7,0,188.0,205.0,,Orthodox,"Feb 15, 1991",4.79,0.5,4.79,0.48,0.0,0.0,1.0,8.3,http://www.ufcstats.com/fighter-details/4c9b84d559822830
Daniel Spitz,,6,3,0,200.7,245.0,208.3,Orthodox,"Jul 31, 1990",2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0,http://www.ufcstats.com/fighter-details/f86cb5f25d545e0e
Terrance Saeteurn,Wrong Turn,8,2,0,167.6,125.0,170.2,Orthodox,"May 30, 1995",3.82,0.4,3.82,0.52,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/a78f7a9135eb6249
Mike Santiago,,19,12,0,177.8,145.0,175.3,Orthodox,"Jul 28, 1989",3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1,http://www.ufcstats.com/fighter-details/bc656db347f31e19
Ray Seraille,,8,9,0,190.5,246.0,,,"Jun 23, 1979",5.29,0.27,17.65,0.41,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/2f04c4183523be2e
Bailey Schoenfelder,Berserk,5,1,0,190.5,265.0,193.0,Orthodox,"Sep 22, 1997",0.0,0.0,9.86,0.53,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/b0353e7f5038dd09
Frankie Saenz,,13,7,0,167.6,135.0,167.6,Orthodox,"Aug 12, 1980",3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,http://www.ufcstats.com/fighter-details/9ba2226646046b63
Bruno Silva,Blindado,23,13,0,182.9,185.0,188.0,Orthodox,"Jul 13, 1989",3.86,0.48,5.35,0.41,0.77,0.22,0.74,0.0,http://www.ufcstats.com/fighter-details/12ebd7d157e91701
Matt Skelton,,0,1,0,190.5,265.0,,Orthodox,"Jan 23, 1967",0.0,0.0,0.54,0.0,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/caced97768818230
Brendan Seguin,,23,19,1,182.9,185.0,,,"Jul 03, 1976",2.6,0.45,0.6,0.84,5.0,0.62,1.0,0.0,http://www.ufcstats.com/fighter-details/e4bb7e483c4ad318
Shimon Smotritsky,The Assassin,8,2,0,188.0,170.0,188.0,Orthodox,"Aug 22, 2000",3.52,0.34,8.67,0.56,3.52,0.33,0.5,0.0,http://www.ufcstats.com/fighter-details/1b0491ef0f9c965e
Mike Stumpf,,11,4,0,177.8,170.0,,,"Aug 01, 1986",3.34,0.43,8.85,0.47,1.59,0.25,0.33,0.8,http://www.ufcstats.com/fighter-details/c0c36a5b3d5bbdd5
Diego Sanchez,Nightmare,31,13,0,177.8,170.0,182.9,Southpaw,"Dec 31, 1981",2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8,http://www.ufcstats.com/fighter-details/82e7929bf6c2b689
Edivan Santos,Pe De Sapo,12,3,1,193.0,248.0,198.1,Orthodox,"May 03, 1992",1.55,0.48,7.09,0.26,0.0,0.0,0.25,0.0,http://www.ufcstats.com/fighter-details/78719f6663ad9160
Aljamain Sterling,Funk Master,25,5,0,170.2,145.0,180.3,Orthodox,"Jul 31, 1989",4.45,0.52,2.21,0.59,2.45,0.3,0.44,0.6,http://www.ufcstats.com/fighter-details/cb696ebfb6598724
Townsend Saunders,,0,2,0,165.1,170.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/20bd6c3e03c46ee6
Erick Silva,,19,9,0,182.9,170.0,188.0,Orthodox,"Jun 21, 1984",2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4,http://www.ufcstats.com/fighter-details/5866fc86183a9fb8
Joe Solecki,,13,6,0,175.3,155.0,177.8,Orthodox,"Aug 27, 1993",1.97,0.53,1.85,0.5,2.06,0.48,0.14,1.4,http://www.ufcstats.com/fighter-details/af65aa688d13eedf
Luke Sanders,Cool Hand,13,5,0,167.6,135.0,170.2,Southpaw,"Dec 12, 1985",6.61,0.52,4.37,0.5,0.71,0.3,0.72,0.2,http://www.ufcstats.com/fighter-details/96428b9e9bd048ea
Hayato Sakurai,Mach,38,13,2,170.2,168.0,,Orthodox,"Aug 24, 1975",2.45,0.49,1.94,0.59,1.87,0.69,0.56,0.3,http://www.ufcstats.com/fighter-details/85e26e2468b4e82f
Iliarde Santos,,30,13,1,165.1,125.0,170.2,Orthodox,"Sep 25, 1980",3.0,0.3,6.1,0.57,1.66,0.23,0.83,0.0,http://www.ufcstats.com/fighter-details/14aa21bc82cac57d
Brandon Saling,White Steel,8,6,0,177.8,170.0,,,"Jan 28, 1986",2.88,0.4,6.08,0.2,0.0,0.0,0.57,0.0,http://www.ufcstats.com/fighter-details/a049aa06508b9c7b
Scott Shaffer,,0,1,0,170.2,145.0,,Orthodox,,2.4,0.67,0.53,0.5,0.0,0.0,0.72,3.0,http://www.ufcstats.com/fighter-details/5c38639f860a5542
Shunichi Shimizu,,30,18,11,165.1,135.0,,Orthodox,"Jan 31, 1985",0.14,0.33,4.68,0.3,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/10657c60ce349e0f
Cameron Saaiman,MSP,9,3,0,172.7,135.0,170.2,Southpaw,"Dec 20, 2000",5.3,0.46,4.14,0.51,0.89,0.28,0.47,0.7,http://www.ufcstats.com/fighter-details/3c8a5200436e19f3
Daniel Sarafian,,10,6,0,175.3,185.0,185.4,Orthodox,"Aug 21, 1982",2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7,http://www.ufcstats.com/fighter-details/7e47047d0971d566
Fredy Serrano,El Profe,3,2,0,160.0,125.0,165.1,Orthodox,"Sep 22, 1979",1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0,http://www.ufcstats.com/fighter-details/0ccab7c889ede9ea
Jonathan Santa Maria,,3,4,0,175.3,125.0,,,,3.6,0.51,2.53,0.74,0.0,0.0,0.8,0.0,http://www.ufcstats.com/fighter-details/3143e5daff9e5b71
Jeimeson Saudino,The Minion,8,5,0,167.6,135.0,,,"Mar 05, 1991",0.66,0.3,0.82,0.84,2.47,0.5,0.0,2.5,http://www.ufcstats.com/fighter-details/f6f9d41669dd3eaa
Rama Supandhi,Hellboy,8,4,0,165.1,125.0,167.6,Southpaw,"Nov 07, 1991",2.2,0.42,3.53,0.48,1.0,0.11,0.0,0.0,http://www.ufcstats.com/fighter-details/6d537248fe7cccf1
Justin Scoggins,,11,5,0,170.2,125.0,167.6,Southpaw,"May 02, 1992",3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5,http://www.ufcstats.com/fighter-details/9fa568ad2bf2cb0b
Douglas Silva de Andrade,D Silva,29,6,0,170.2,145.0,172.7,Orthodox,"Jun 22, 1985",3.54,0.38,3.93,0.57,0.55,0.42,0.72,0.2,http://www.ufcstats.com/fighter-details/3a314d9fa7c6825d
Brad Scott,Bear,11,6,0,185.4,170.0,193.0,Orthodox,"Jun 24, 1989",3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7,http://www.ufcstats.com/fighter-details/34e552520a934063
Leonardo Santos,,18,7,1,182.9,155.0,190.5,Orthodox,"Feb 05, 1980",2.82,0.46,3.4,0.54,0.88,0.25,0.86,0.2,http://www.ufcstats.com/fighter-details/9c65736747ca92ec
Jean Silva,Lord,17,3,0,170.2,145.0,175.3,Orthodox,"Dec 27, 1996",4.82,0.51,4.5,0.53,1.2,0.6,0.78,0.6,http://www.ufcstats.com/fighter-details/52ef95b5860fb28c
Tommy Speer,,21,7,0,177.8,170.0,180.3,Orthodox,"Aug 20, 1984",2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,http://www.ufcstats.com/fighter-details/1411c630ba711b64
Jansey Silva,Jones,7,2,0,188.0,185.0,170.2,Orthodox,"May 30, 1995",0.46,0.4,2.32,0.33,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0d09efd31eb9fadf
Djorden Santos,Shakur,11,2,0,182.9,185.0,190.5,Orthodox,"Aug 01, 1997",7.0,0.44,5.98,0.48,0.67,0.33,0.86,0.0,http://www.ufcstats.com/fighter-details/312f7d7b2b2f7de4
Natalia Silva,,20,5,1,162.6,125.0,165.1,Southpaw,"Feb 03, 1997",4.81,0.45,2.36,0.66,0.43,0.3,0.9,0.0,http://www.ufcstats.com/fighter-details/262d32ebda89efc4
Eric Schafer,Red,14,8,2,190.5,185.0,193.0,Orthodox,"Sep 20, 1977",1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8,http://www.ufcstats.com/fighter-details/f59f1d3a2ff13edd
Lumumba Sayers,,6,5,0,182.9,185.0,,,"Jun 30, 1978",2.54,0.41,2.37,0.48,7.63,0.75,0.0,2.5,http://www.ufcstats.com/fighter-details/402ea3b5ee233852
Zachary Scroggin,,7,1,0,190.5,170.0,188.0,Orthodox,"Mar 09, 1996",2.4,0.37,8.8,0.68,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/03dee485905dbc9f
Heraldo Souza,Savage,9,2,1,180.3,185.0,185.4,Orthodox,"Dec 15, 1994",1.62,0.33,1.62,0.5,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/22b43be04d7454d0
Gabriel Santos,Mosquitinho,12,2,0,175.3,145.0,177.8,Orthodox,"Nov 28, 1996",4.35,0.6,4.31,0.45,3.8,0.54,0.87,1.2,http://www.ufcstats.com/fighter-details/f2f140ce7532e327
Alex Serdyukov,The Russian Crusher,8,5,0,188.0,170.0,188.0,Orthodox,"May 24, 1980",4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8,http://www.ufcstats.com/fighter-details/253d3f9e97ca149a
Gilbert Smith,,12,6,0,175.3,185.0,,Southpaw,"Oct 19, 1981",1.09,0.41,2.73,0.35,3.51,0.6,0.0,1.2,http://www.ufcstats.com/fighter-details/54ed8dc6f8c31207
Yuhi Sano,,0,4,0,180.3,243.0,,Orthodox,"Feb 02, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4c12aa7ca246e7a4
Song Yadong,Kung Fu Kid,22,9,1,172.7,135.0,170.2,Orthodox,"Dec 02, 1997",4.42,0.43,3.94,0.55,0.78,0.39,0.73,0.1,http://www.ufcstats.com/fighter-details/efb96bf3e9ada36f
Braxton Smith,The Beautiful Monster,5,2,0,180.3,257.0,182.9,Orthodox,"Jan 01, 1990",6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/eaa9402e5a7990ad
Vinicius Salvador,,14,7,0,170.2,135.0,177.8,Southpaw,"Jul 24, 1996",5.48,0.43,6.5,0.48,0.36,0.11,0.86,0.0,http://www.ufcstats.com/fighter-details/65cdf4ec31143d86
Jake Shields,,31,9,1,182.9,170.0,182.9,Orthodox,"Jan 09, 1979",2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2,http://www.ufcstats.com/fighter-details/fe435e440b5de0ff
Dillon Smith,,0,0,0,182.9,170.0,,,"Jan 07, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ffee353f55e3aa2c
Don Shainis,Shameless,12,5,0,167.6,145.0,170.2,Orthodox,"Sep 16, 1990",3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9,http://www.ufcstats.com/fighter-details/da4628f173337902
Kalib Starnes,,17,11,1,190.5,185.0,188.0,Orthodox,"Jan 06, 1975",2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,http://www.ufcstats.com/fighter-details/c8136ab8aa32c974
Alexander Soldatkin,,14,4,0,188.0,250.0,190.5,Orthodox,"Jun 10, 1993",1.16,0.6,1.35,0.26,1.45,0.5,0.5,0.0,http://www.ufcstats.com/fighter-details/f1451d605bad178e
Bobby Stack,,8,3,0,175.3,155.0,,Orthodox,,1.0,0.2,2.89,0.34,7.48,0.45,1.0,0.0,http://www.ufcstats.com/fighter-details/6436029b50a9c255
Hecher Sosa,Guanche Warrior,13,1,0,175.3,135.0,177.8,Orthodox,"Aug 25, 1995",2.13,0.5,0.87,0.55,4.0,0.36,1.0,2.0,http://www.ufcstats.com/fighter-details/ec3bd30378d63dd1
Art Santore,Pachuco,18,8,0,188.0,185.0,,,"Oct 26, 1972",1.4,0.12,7.31,0.52,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/012fc7cd0779c09a
Erik Silva,The King,9,3,0,175.3,145.0,180.3,Orthodox,"Mar 16, 1987",2.07,0.7,1.57,0.4,3.76,0.8,0.62,0.0,http://www.ufcstats.com/fighter-details/21b813b919776d90
Wes Sims,The Project,24,14,1,208.3,260.0,,Orthodox,"Aug 04, 1979",0.98,0.51,2.95,0.37,0.0,0.0,0.4,2.3,http://www.ufcstats.com/fighter-details/e0f7c4f3f67bc808
Dan Severn,The Beast,101,19,1,188.0,250.0,,Southpaw,"Jun 08, 1958",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c670aa48827d6be6
Patrick Smith,,20,17,0,188.0,225.0,,Orthodox,"Aug 28, 1963",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/46c8ec317aff28ac
Joe Slick,,16,5,3,182.9,199.0,,Orthodox,"Oct 17, 1977",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/80e6d71e14c1d356
Maria Silva,Viuva Negra,8,1,0,160.0,115.0,162.6,Orthodox,"Dec 19, 1995",3.0,0.57,1.13,0.62,2.0,1.0,0.55,0.5,http://www.ufcstats.com/fighter-details/4408865b4e65e374
Mackens Semerzier,Da Menace,8,4,0,175.3,145.0,182.9,Orthodox,"Nov 03, 1980",2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1,http://www.ufcstats.com/fighter-details/51b1e2fd9872005b
Richie Santiago,The Milford Mauler,7,2,0,170.2,135.0,170.2,Southpaw,"Oct 10, 1992",3.87,0.49,4.87,0.42,0.0,0.0,0.25,0.0,http://www.ufcstats.com/fighter-details/9f95d6b5b459cc6b
Alex Schoenauer,,15,10,0,190.5,185.0,,Orthodox,"May 05, 1976",1.22,0.4,2.27,0.42,0.0,0.0,0.22,4.9,http://www.ufcstats.com/fighter-details/fdfef29ba17ee525
Matt Secor,,8,4,0,182.9,170.0,,,"Sep 26, 1986",0.51,0.2,0.81,0.5,3.03,1.0,0.0,3.0,http://www.ufcstats.com/fighter-details/d1ce40aca99a9b70
Danilo Suzart,,9,2,0,182.9,260.0,,Orthodox,"Dec 04, 1991",4.09,0.55,11.73,0.51,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/3d99e5aa85d7576a
Shaheen Santana,Shazam,6,1,0,185.4,155.0,190.5,Orthodox,"Jun 04, 1991",0.82,0.42,1.65,0.4,0.0,0.0,0.0,2.8,http://www.ufcstats.com/fighter-details/19809d475ed832d5
Devonte Smith,King Kage,11,4,0,175.3,155.0,193.0,Orthodox,"Jul 30, 1993",4.55,0.53,3.91,0.49,0.35,0.25,0.85,0.3,http://www.ufcstats.com/fighter-details/207773daeb4afa7b
Chris Sanford,,5,1,0,180.3,185.0,,Orthodox,"Mar 12, 1968",0.23,0.5,3.22,0.17,0.0,0.0,0.0,3.5,http://www.ufcstats.com/fighter-details/29f935654825331b
DongHyun Seo,Pinnacle,7,3,1,170.2,145.0,170.2,Orthodox,"Aug 22, 1990",4.91,0.63,3.35,0.41,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0505e27a5d00704a
Janaina Silva,Jana-Iron-Hand,5,1,0,154.9,115.0,152.4,Orthodox,"Feb 16, 1992",0.0,0.0,1.5,0.62,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4784a5b4a452464a
Joe Stevenson,Daddy,33,16,0,170.2,145.0,177.8,Orthodox,"Jun 15, 1982",2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2,http://www.ufcstats.com/fighter-details/79899ecf62020f6d
Jerrod Sanders,J-Reazie,16,3,0,172.7,135.0,182.9,Orthodox,"Oct 01, 1979",0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,http://www.ufcstats.com/fighter-details/12f1b140e248bdb9
Magomed Sultanakhmedov,,18,6,0,188.0,185.0,,Southpaw,"May 11, 1984",0.0,0.0,2.4,0.42,9.0,1.0,0.0,9.0,http://www.ufcstats.com/fighter-details/fe1fdc6be470f773
Kevin Szaflarski,,11,2,0,195.6,260.0,195.6,Orthodox,"Dec 30, 1994",1.13,0.28,8.07,0.3,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d2d05dda5f887f87
Jamey Simmons,The Afro Samurai,7,4,0,167.6,135.0,177.8,Orthodox,"Sep 11, 1992",0.79,0.21,1.92,0.74,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/f0fad0e9f3b65752
Gian Siqueira,Pitbull,19,5,0,185.4,170.0,188.0,Orthodox,"Jun 23, 1994",0.8,1.0,3.41,0.19,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/a46fdda658fee832
Ryan Stonitsch,,8,1,0,175.3,170.0,,Southpaw,"Feb 03, 1977",2.53,0.36,2.53,0.71,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/8d477c3fbe001f9d
Shi Ming,,17,6,0,157.5,115.0,152.4,Orthodox,"Nov 14, 1994",3.12,0.36,2.92,0.53,0.81,0.3,0.57,0.0,http://www.ufcstats.com/fighter-details/d683f4870742b273
Justin Salas,J-Bomb,12,7,0,172.7,155.0,177.8,Southpaw,"Mar 13, 1982",3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,http://www.ufcstats.com/fighter-details/9b198c73e3d0d289
Shogo Sato,Tora,5,1,0,170.2,170.0,167.6,Southpaw,"Jun 08, 1993",2.14,0.25,25.71,0.29,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c982b98d33825763
Tetsuya Seki,,14,8,1,177.8,155.0,,,"Feb 08, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/5e1062e066c601e6
Elijah Smith,Swift,9,1,0,175.3,135.0,180.3,Orthodox,"Sep 05, 2002",4.45,0.47,3.4,0.47,3.51,0.53,0.57,0.9,http://www.ufcstats.com/fighter-details/7478b7f959ba61f5
