Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Roy Nelson,Big Country,22,14,0,182.9,263.0,185.4,Orthodox,"Jun 20, 1976",2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1,http://www.ufcstats.com/fighter-details/3f7c14c7eca7195d
Kevin Natividad,Quicksand,9,4,0,167.6,135.0,177.8,Orthodox,"Apr 02, 1993",2.68,0.34,4.29,0.47,3.66,0.5,0.83,0.0,http://www.ufcstats.com/fighter-details/0c258d1d8e16e5f1
Danny Navarro,,17,7,0,177.8,155.0,,,"May 27, 1983",3.83,0.32,4.62,0.57,2.17,0.25,1.0,0.0,http://www.ufcstats.com/fighter-details/618f72750ec50b05
Tafon Nchukwi,Da Don,6,4,0,182.9,185.0,195.6,Orthodox,"Oct 14, 1994",5.57,0.52,4.11,0.54,0.76,0.57,0.64,0.0,http://www.ufcstats.com/fighter-details/6aae253467e8f9ce
Scott Norton,Hollywood,7,1,0,177.8,170.0,,Orthodox,"Mar 15, 1973",0.67,0.3,0.34,0.6,2.52,0.25,0.0,0.0,http://www.ufcstats.com/fighter-details/f21a3d68fb9df387
Kazuhiro Nakamura,Kaz,21,13,0,180.3,205.0,177.8,Orthodox,"Jul 16, 1979",1.56,0.37,1.83,0.59,1.73,0.36,0.42,0.6,http://www.ufcstats.com/fighter-details/b034747dc1d15491
Josiane Nunes,Josi,10,4,0,157.5,135.0,170.2,Southpaw,"Dec 23, 1993",5.65,0.43,5.76,0.51,0.0,0.0,0.58,0.0,http://www.ufcstats.com/fighter-details/68d35296f566792b
Said Nurmagomedov,,18,5,0,172.7,135.0,177.8,Orthodox,"Apr 05, 1992",3.08,0.48,2.05,0.55,0.86,0.15,0.63,1.1,http://www.ufcstats.com/fighter-details/0fd5f4b838e890cc
Jonatas Novaes,,13,5,0,180.3,170.0,,,"Mar 02, 1981",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9e8e5c529057fe60
Mandel Nallo,Mango,14,3,0,182.9,155.0,190.5,Orthodox,"Jul 26, 1989",8.61,0.62,2.58,0.72,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/8f4528c10bd34fab
Katsuhiko Nagata,,6,7,3,170.2,154.0,,Southpaw,"Oct 31, 1973",1.05,0.19,1.5,0.63,0.98,0.28,0.28,0.0,http://www.ufcstats.com/fighter-details/d5ae8074631762fc
Sage Northcutt,Super,11,2,0,182.9,170.0,180.3,Orthodox,"Mar 01, 1996",3.58,0.52,1.96,0.58,1.81,0.34,0.41,0.6,http://www.ufcstats.com/fighter-details/ed9d8ee3a4239b1c
Daisuke Nakamura,,28,19,1,170.2,154.0,,Orthodox,"Jun 10, 1980",0.94,0.3,1.38,0.61,0.46,0.4,0.3,3.6,http://www.ufcstats.com/fighter-details/a196332ee4aa8a82
Yosuke Nishijima,,0,5,0,175.3,205.0,,Orthodox,"May 15, 1973",1.72,0.37,5.59,0.56,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/5cde96e0a1a1fffe
Kyle Noblitt,,11,2,0,188.0,243.0,,,"Dec 26, 1989",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4acf03bdec2025d7
Tyson Nam,,21,14,1,170.2,125.0,172.7,Orthodox,"Oct 06, 1983",3.87,0.33,4.97,0.65,0.0,0.0,0.87,0.0,http://www.ufcstats.com/fighter-details/6e00cfffd54653c4
Jack Nilson,,2,6,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/53e533db1b8e9712
Journey Newson,,10,5,0,165.1,135.0,170.2,Orthodox,"Mar 07, 1989",2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3,http://www.ufcstats.com/fighter-details/78f485f851891d68
Jutaro Nakao,,25,19,4,175.3,170.0,,Southpaw,"Nov 30, 1970",0.53,0.38,1.06,0.44,0.38,0.5,0.56,0.0,http://www.ufcstats.com/fighter-details/95eb112a85601a0a
Muhammad Naimov,Hillman,13,4,0,175.3,145.0,177.8,Orthodox,"Aug 07, 1994",2.51,0.4,3.35,0.44,1.49,0.3,0.68,0.2,http://www.ufcstats.com/fighter-details/8d11d9c13e2ccdf7
Chidi Njokuani,Bang Bang,25,11,0,190.5,170.0,203.2,Orthodox,"Dec 31, 1988",4.72,0.62,2.64,0.57,0.0,0.0,0.73,0.2,http://www.ufcstats.com/fighter-details/c68c68efaa5ca6ef
Lissette Neri,,6,4,0,157.5,145.0,,,"Aug 05, 1987",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f4db63258ecf0613
Dustin Neace,The Beast,25,21,1,175.3,145.0,175.3,,"Sep 12, 1986",2.08,0.32,2.66,0.56,0.0,0.0,0.0,1.7,http://www.ufcstats.com/fighter-details/e503aa5c252a1b4d
Abubakar Nurmagomedov,,17,4,1,180.3,170.0,182.9,Orthodox,"Nov 13, 1989",2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,http://www.ufcstats.com/fighter-details/029e1293e609fd74
Emanuel Newton,The Hardcore Kid,26,12,1,185.4,205.0,,,"Jan 02, 1984",1.92,0.49,1.35,0.51,2.02,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/fbbbc68d368832fa
Jaimelene Nievera,Queenie,7,4,0,165.1,125.0,,Orthodox,"Oct 28, 1984",1.67,0.53,8.73,0.33,1.79,0.16,0.0,0.0,http://www.ufcstats.com/fighter-details/3edf45e1717fa764
Reza Nasri,,0,1,0,180.3,205.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d41937647eae9a34
Mike Nickels,,9,5,0,193.0,205.0,,Orthodox,"Dec 13, 1971",4.44,0.52,1.11,0.64,11.11,0.8,0.0,2.8,http://www.ufcstats.com/fighter-details/330ec26453c44a59
Mats Nilsson,,11,4,1,185.4,170.0,,Orthodox,"Dec 05, 1983",2.99,0.39,5.62,0.63,3.87,0.83,0.44,2.3,http://www.ufcstats.com/fighter-details/a9bcf8717dd12532
Jason Novelli,Flipside,11,3,1,182.9,155.0,,Orthodox,"Jun 08, 1979",1.73,0.24,3.55,0.66,0.7,0.33,1.0,0.0,http://www.ufcstats.com/fighter-details/459e4dc69ec669b2
Phillipe Nover,The Filipino Assassin,11,8,1,175.3,145.0,182.9,Orthodox,"Feb 03, 1984",1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7,http://www.ufcstats.com/fighter-details/64360e618823a8e4
Yuji Nagata,,0,2,0,182.9,225.0,,Orthodox,"Apr 24, 1968",1.45,0.4,14.46,0.04,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e49c2db95e572dc8
Carlos Newton,The Ronin,16,14,0,175.3,170.0,,Orthodox,"Aug 17, 1976",0.65,0.41,1.55,0.44,2.47,0.7,0.43,0.9,http://www.ufcstats.com/fighter-details/952f6fa06f25a0ec
Derrick Noble,The Eraser,27,15,1,175.3,170.0,,Southpaw,"Aug 14, 1978",6.21,0.4,3.79,0.59,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/21321cdfba797c52
Akiyo Nishiura,Wicky Akiyo,13,8,1,172.7,139.0,,Southpaw,"Aug 08, 1983",1.59,0.57,1.26,0.57,0.0,0.0,0.52,0.3,http://www.ufcstats.com/fighter-details/6c9383ffab2725a5
Fedor Nikolov,,0,0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/346f789951e85f3f
Adilet Nurmatov,Kok-Zhal,13,2,0,,155.0,,,"Aug 02, 1997",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/689502703bbfe5f2
Shayilan Nuerdanbieke,Wolverine,39,12,0,172.7,145.0,175.3,Orthodox,"May 04, 1994",1.95,0.45,2.64,0.5,3.3,0.35,0.28,0.2,http://www.ufcstats.com/fighter-details/0a73acff6325c1e2
Anthony Njokuani,The Assassin,16,12,0,185.4,155.0,190.5,Orthodox,"Mar 01, 1980",3.94,0.46,2.41,0.65,0.5,0.45,0.53,0.2,http://www.ufcstats.com/fighter-details/6bf5a7d3e081ade2
Ismail Naurdiev,,25,8,0,177.8,185.0,188.0,Orthodox,"Aug 18, 1996",3.66,0.52,1.75,0.64,1.48,0.4,0.73,0.2,http://www.ufcstats.com/fighter-details/6a96ad1bc34fb113
Mario Neto,Sukata,13,5,0,182.9,229.0,,Orthodox,,1.89,0.5,1.89,0.7,2.84,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1209b5134401ca53
Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,240.0,195.6,Orthodox,"Jun 02, 1976",1.95,0.42,2.4,0.55,1.3,0.29,0.36,2.4,http://www.ufcstats.com/fighter-details/ee9d73f4fee9cbdd
Istela Nunes,,6,6,0,162.6,115.0,167.6,Orthodox,"Jul 23, 1992",4.28,0.47,4.07,0.59,0.0,0.0,0.47,0.0,http://www.ufcstats.com/fighter-details/efc67b07eed39794
Kennedy Nzechukwu,Chosen,14,6,1,195.6,236.0,210.8,Southpaw,"Jun 13, 1992",4.96,0.46,4.58,0.51,0.5,0.45,0.8,0.2,http://www.ufcstats.com/fighter-details/8667caa0451d245b
Logan Nail,,1,1,0,,185.0,,,"Jun 20, 1989",1.93,0.51,2.27,0.39,0.0,0.0,0.37,0.0,http://www.ufcstats.com/fighter-details/47e0b5833e6bc91a
Bo Nickal,,8,1,0,185.4,185.0,193.0,Southpaw,"Jan 14, 1996",3.35,0.61,2.07,0.59,3.1,0.55,1.0,2.5,http://www.ufcstats.com/fighter-details/35673bf5204524ee
Rin Nakai,,19,2,1,154.9,135.0,,Orthodox,"Oct 22, 1986",1.57,0.33,3.9,0.6,3.0,0.18,0.75,0.5,http://www.ufcstats.com/fighter-details/f9ae6914f604aa9f
Rinya Nakamura,Hybred,10,1,0,170.2,135.0,172.7,Southpaw,"Mar 23, 1995",3.27,0.52,1.72,0.63,2.58,0.81,1.0,1.4,http://www.ufcstats.com/fighter-details/d8c811df0386d5e8
Nasrudin Nasrudinov,,9,1,0,182.9,205.0,180.3,Orthodox,"Oct 06, 1991",1.03,0.87,0.29,0.75,2.2,0.5,0.4,0.0,http://www.ufcstats.com/fighter-details/769fa803bf9d2e3b
Amanda Nunes,The Lioness,23,5,0,172.7,135.0,175.3,Orthodox,"May 30, 1988",4.55,0.51,2.62,0.57,2.73,0.54,0.82,0.7,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58
Antonio Braga Neto,,9,3,0,190.5,185.0,195.6,Orthodox,"Oct 29, 1987",1.36,0.33,3.92,0.45,3.07,0.37,0.0,0.5,http://www.ufcstats.com/fighter-details/fae67903c4fe636b
Ramsey Nijem,,9,6,0,180.3,155.0,190.5,Orthodox,"Apr 01, 1988",3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1,http://www.ufcstats.com/fighter-details/22aa91e402d0fe1f
Keita Nakamura,K-Taro,34,10,2,180.3,170.0,185.4,Southpaw,"May 22, 1984",2.23,0.36,3.2,0.58,1.65,0.48,0.63,0.3,http://www.ufcstats.com/fighter-details/65ddc8a9ac4e8531
Nicolae Negumereanu,,13,2,0,182.9,205.0,198.1,Orthodox,"Sep 04, 1994",3.58,0.41,5.56,0.39,1.02,0.28,0.62,0.0,http://www.ufcstats.com/fighter-details/8c57c7b8c3bab0eb
Ben Nguyen,Ten,16,8,0,165.1,125.0,165.1,Switch,"Aug 03, 1988",3.51,0.4,3.01,0.59,0.25,0.33,0.63,1.0,http://www.ufcstats.com/fighter-details/840d2c82ea68b9aa
Yui Chul Nam,The Korean Bulldozer,18,8,1,175.3,145.0,,Orthodox,"Jul 16, 1981",3.53,0.51,2.0,0.48,1.33,0.16,0.57,0.3,http://www.ufcstats.com/fighter-details/a00ec21cfbba17b6
Rogerio Nogueira,Minotouro,23,10,0,188.0,205.0,190.5,Southpaw,"Jun 02, 1976",2.43,0.35,2.34,0.59,0.64,0.44,0.62,0.8,http://www.ufcstats.com/fighter-details/73e09f837f3b5ecc
Azamat Nuftillaev,Dragon,13,2,1,182.9,234.0,195.6,Orthodox,"Jan 01, 1994",0.6,0.56,1.6,0.25,4.0,0.44,0.0,0.0,http://www.ufcstats.com/fighter-details/b37321c0bb9e8570
Diyar Nurgozhay,,10,2,0,188.0,205.0,188.0,Southpaw,"Apr 22, 1997",3.04,0.5,2.99,0.61,2.54,1.0,1.0,0.0,http://www.ufcstats.com/fighter-details/709fadb644ee3f51
Andrews Nakahara,,5,4,2,185.4,185.0,,Orthodox,"Mar 12, 1983",2.68,0.44,1.9,0.57,0.0,0.0,0.72,0.4,http://www.ufcstats.com/fighter-details/7a9ca95a92d7b64c
Eduardo Neves,Bebezao,7,2,0,188.0,263.0,198.1,Orthodox,"Mar 16, 2000",7.69,0.65,6.15,0.55,5.77,0.66,0.0,0.0,http://www.ufcstats.com/fighter-details/1d688fa375d9431c
Kyle Noke,,22,10,1,185.4,170.0,193.0,Southpaw,"Mar 18, 1980",3.23,0.5,2.09,0.64,1.53,0.54,0.66,0.8,http://www.ufcstats.com/fighter-details/7339d340aa2889cb
Stewart Nicoll,Kakamora,8,2,0,165.1,125.0,165.1,Orthodox,"Apr 11, 1996",3.0,0.34,6.69,0.48,2.55,0.14,0.25,0.0,http://www.ufcstats.com/fighter-details/2bd98ab77a8daa75
Talita Nogueira,Treta,6,0,0,177.8,145.0,,,"Oct 13, 1985",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/a3d1d060f9af97fe
Yusaku Nakamura,,14,4,1,165.1,145.0,,,"Jun 21, 1986",1.72,0.45,3.67,0.55,0.0,0.0,0.83,0.0,http://www.ufcstats.com/fighter-details/03e8df49c4a059ba
Rodrigo Nascimento,Ze Colmeia,11,3,0,188.0,246.0,203.2,Orthodox,"Nov 26, 1992",3.71,0.47,4.34,0.44,1.02,0.37,0.6,0.5,http://www.ufcstats.com/fighter-details/d31a5546c0e9b213
Roger Narvaez,Silverback,8,3,0,190.5,185.0,,Southpaw,"Sep 09, 1983",2.12,0.37,3.32,0.64,0.0,0.0,0.5,0.9,http://www.ufcstats.com/fighter-details/3a12a2f096a6d975
Nghiem Van Y,,6,2,0,170.2,135.0,172.7,Orthodox,"May 15, 1999",3.84,0.54,1.83,0.71,0.0,0.0,0.9,0.0,http://www.ufcstats.com/fighter-details/fd08d6536b7b91f0
Guangyou Ning,Smasher,5,4,1,162.6,145.0,162.6,Southpaw,"Dec 15, 1981",2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3,http://www.ufcstats.com/fighter-details/2c1170b825f58e57
Marcio Navarro,The Locomotive,14,14,0,182.9,155.0,,,"Sep 17, 1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/52f7d300738961ac
Gunnar Nelson,Gunni,19,6,1,180.3,170.0,182.9,Switch,"Jul 28, 1988",1.77,0.61,3.06,0.48,2.0,0.52,0.68,1.0,http://www.ufcstats.com/fighter-details/fd55393021a8c255
Alex Nicholson,The Spartan,7,4,0,193.0,185.0,195.6,Orthodox,"May 02, 1990",4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5,http://www.ufcstats.com/fighter-details/2b6d855c6e280fb1
Nad Narimani,Smiler,12,4,0,172.7,145.0,177.8,Orthodox,"Apr 14, 1987",3.33,0.42,3.0,0.58,1.92,0.41,0.7,0.0,http://www.ufcstats.com/fighter-details/776a58a67665a171
Jan Nortje,The Giant,2,6,0,185.4,310.0,,Southpaw,"Apr 11, 1975",3.32,0.51,4.5,0.32,0.0,0.0,0.66,2.9,http://www.ufcstats.com/fighter-details/bd4389b71fdc0ce2
Julio Cesar Neves Jr.,Morceguinho,33,1,0,172.7,145.0,,,"Apr 25, 1994",1.98,0.35,4.81,0.51,1.06,0.25,0.76,0.0,http://www.ufcstats.com/fighter-details/195d0d3e14a2e256
Steve Nelmark,The Sandman,2,1,0,182.9,240.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/13e62d766b709aa6
Rafael Natal,Sapo,21,9,1,182.9,185.0,195.6,Orthodox,"Dec 25, 1982",3.1,0.47,2.48,0.57,2.55,0.34,0.77,0.5,http://www.ufcstats.com/fighter-details/0dba4df5f34d5ff0
Yasuhito Namekawa,,25,16,4,175.3,205.0,,Orthodox,"Oct 27, 1974",0.14,0.5,3.65,0.38,2.11,0.25,0.0,4.2,http://www.ufcstats.com/fighter-details/6083f497c22cc075
Yukiya Naito,,15,6,2,185.4,205.0,,Orthodox,"Feb 28, 1977",1.54,0.33,5.13,0.6,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/7be328bb3c2ea22e
Kyle Nelson,The Monster,17,6,1,180.3,155.0,180.3,Switch,"Apr 20, 1991",3.6,0.45,4.48,0.53,1.18,0.23,0.66,0.5,http://www.ufcstats.com/fighter-details/31f8081c7600da93
Jacob Noe,Psycho,3,11,0,,205.0,,,"Jul 29, 1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9bff1b4c37ebbede
Hans Nijman,,9,7,0,182.9,250.0,,Switch,"Oct 23, 1959",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4956f60b7fa57c1a
Alexander Otsuka,The Diet Butcher,5,13,0,185.4,205.0,,Orthodox,"Jul 17, 1971",0.9,0.55,1.16,0.51,1.51,0.43,0.53,0.8,http://www.ufcstats.com/fighter-details/865aa315ea62c511
Sean O'Haire,,4,2,0,195.6,270.0,,Orthodox,"Feb 25, 1971",8.28,0.57,22.76,0.21,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/46effbd1135423c5
Andy Ologun,,3,1,0,182.9,154.0,,Orthodox,"Jun 12, 1983",2.36,0.57,0.32,0.85,0.68,1.0,0.8,0.0,http://www.ufcstats.com/fighter-details/e96d8538d3f9d0ed
Koji Oishi,,25,10,10,172.7,170.0,,Orthodox,"May 31, 1977",1.43,0.09,17.86,0.43,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/01daf32100ed7517
Craig Oxley,,0,3,0,175.3,155.0,,,"Feb 14, 1973",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4bb9d7a32d02a03e
Michal Oleksiejczuk,Hussar,22,9,0,182.9,185.0,188.0,Southpaw,"Feb 22, 1995",5.85,0.53,4.5,0.59,1.02,0.42,0.52,0.0,http://www.ufcstats.com/fighter-details/0d65c432720accb9
Brendan O'Reilly,Badger,6,3,0,170.2,170.0,175.3,Orthodox,"Jun 24, 1987",1.9,0.47,2.77,0.39,2.22,0.43,0.36,0.6,http://www.ufcstats.com/fighter-details/494b0bfdbac74502
Kenji Osawa,,20,11,2,170.2,135.0,167.6,Orthodox,"Nov 04, 1976",2.34,0.35,2.14,0.63,0.91,0.58,0.68,0.7,http://www.ufcstats.com/fighter-details/8eb239a52fc4ec14
Sam Oropeza,,13,3,0,188.0,170.0,,,"Jun 17, 1985",7.68,0.56,1.44,0.7,3.6,0.33,1.0,0.0,http://www.ufcstats.com/fighter-details/6b8db407d49c6e4b
Charles Oliveira,Do Bronxs,36,11,0,177.8,155.0,188.0,Orthodox,"Oct 17, 1989",3.35,0.54,3.24,0.49,2.22,0.4,0.54,2.6,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Alan Omer,,20,5,0,177.8,145.0,,Orthodox,"Sep 14, 1988",3.49,0.55,2.21,0.64,1.69,0.42,0.66,0.0,http://www.ufcstats.com/fighter-details/f2ad06f1007c481a
