Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL,Stance
Aaron Wetherspoon,Slam,9,5,0,,170.0,,"Jan 11, 1979",2.27,0.32,4.33,0.45,0.0,0.0,0.77,0.0,http://www.ufcstats.com/fighter-details/1ce7998e0a215caa,
Aaron Wilkinson,The Daywalker,11,7,0,177.8,155.0,,"Jan 31, 1987",0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/338a11d3674eb2d4,Orthodox
Abdellah Er-Ramy,The Golden Boy,7,2,0,182.9,185.0,188.0,"Sep 19, 1996",0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/b593cd58b0afffb0,Orthodox
Abdul Azeem Badakhshi,The Afghan Lion,13,3,0,,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/968764372c49eab6,
Abdul Rakhman Yakhyaev,Hunter,8,0,0,188.0,205.0,198.1,"Jan 03, 2001",20.95,0.78,0.95,0.75,14.29,1.0,1.0,14.3,http://www.ufcstats.com/fighter-details/95aff2fd8d09a5f0,Orthodox
Abdul Razak Alhassan,,12,7,0,177.8,185.0,185.4,"Aug 11, 1985",3.64,0.49,4.01,0.54,0.84,0.33,0.51,0.2,http://www.ufcstats.com/fighter-details/eae431e70064e046,Orthodox
Abdul-Kareem Al-Selwady,Pride of Palestine,15,4,0,172.7,155.0,175.3,"Apr 10, 1995",4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,http://www.ufcstats.com/fighter-details/597499ac7a5aac62,Orthodox
Abdul-Kerim Edilov,,17,4,0,188.0,205.0,,"Nov 25, 1991",10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0,http://www.ufcstats.com/fighter-details/37e03538c960bac6,Orthodox
Abel Cullum,The Silent Assassin,20,6,0,170.2,139.0,,"Apr 21, 1987",1.82,0.4,1.23,0.46,4.01,0.52,0.0,2.8,http://www.ufcstats.com/fighter-details/2f8f3c69522db931,Orthodox
Abel Trujillo,Killa,15,8,0,172.7,155.0,177.8,"Sep 18, 1983",2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,http://www.ufcstats.com/fighter-details/e14b5aa06eea9653,Orthodox
Abongo Humphrey,,7,3,0,180.3,205.0,,"May 27, 1977",1.45,0.4,3.83,0.46,1.41,0.37,0.33,3.8,http://www.ufcstats.com/fighter-details/cb1b4d237b0079e6,Orthodox
Abram Torres,,4,3,0,177.8,170.0,,"Oct 29, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e175a261a280f7cb,
Abu Azaitar,Captain Morocco,14,4,1,175.3,185.0,193.0,"Mar 10, 1986",4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,http://www.ufcstats.com/fighter-details/46d0a888d87d91ac,Orthodox
Abubakar Nurmagomedov,,17,4,1,180.3,170.0,182.9,"Nov 13, 1989",2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,http://www.ufcstats.com/fighter-details/029e1293e609fd74,Orthodox
Acacio Dos Santos,Pequeno,14,5,0,193.0,205.0,200.7,"Sep 29, 1991",1.27,0.41,1.4,0.43,0.0,0.0,0.31,0.0,http://www.ufcstats.com/fighter-details/957562fdf68a725a,Orthodox
Achilles Estremadura,,7,1,0,177.8,155.0,172.7,"Mar 11, 1992",3.2,0.43,3.27,0.7,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/41f3cfdab0b22236,Orthodox
Adam Antolin,Captain Chaos,12,3,0,165.1,125.0,160.0,"Feb 28, 1982",5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/25b31165758402dd,Orthodox
Adam Bramhald,Samurai,13,3,0,177.8,135.0,177.8,"Mar 24, 1994",7.65,0.45,8.05,0.33,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/3c99bd6cb5d835ef,Orthodox
Adam Cella,El Naturel,6,8,0,188.0,170.0,,"Jun 26, 1985",1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3,http://www.ufcstats.com/fighter-details/b27b8881d7444114,
Adam Fugitt,,10,6,0,185.4,170.0,195.6,"Jan 12, 1989",4.88,0.46,5.33,0.51,1.63,0.22,0.5,0.0,http://www.ufcstats.com/fighter-details/a01a62132460a98d,Southpaw
Adam Hunter,Warhammer,7,1,0,185.4,185.0,,"Oct 16, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/edc9eb3051f444fa,Orthodox
Adam Piccolotti,,9,0,0,180.3,155.0,,"Oct 23, 1988",4.61,0.5,2.83,0.71,2.96,0.6,1.0,3.0,http://www.ufcstats.com/fighter-details/fa399f7f6e17f7f5,
Adam Schindler,,10,6,0,172.7,155.0,,"May 19, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/89ea01f5a7ada40c,
Adam Smith,,0,3,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/754968e325d6f60d,
Adam Steele,,0,1,0,,170.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/16044bd8762cf794,
Adam Wieczorek,Siwy,10,2,0,195.6,250.0,205.7,"Feb 05, 1992",1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,http://www.ufcstats.com/fighter-details/efa1f6b42c86793c,Orthodox
Adam Yandiev,Boroda,9,1,0,175.3,185.0,188.0,"Aug 07, 1988",0.18,0.08,6.14,0.36,0.0,0.0,0.25,0.0,http://www.ufcstats.com/fighter-details/0a95c474e61a6c44,Orthodox
Adilet Nurmatov,Kok-Zhal,13,2,0,,155.0,,"Aug 02, 1997",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/689502703bbfe5f2,
Adin Duenas,,6,1,0,167.6,145.0,,"Jul 02, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/cb6c45b26b0a877a,
Adlan Amagov,Borz,14,2,1,188.0,170.0,193.0,"Oct 30, 1986",3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,http://www.ufcstats.com/fighter-details/1e327b281ef6a745,Orthodox
Adli Edwards,,4,1,0,,145.0,,"Aug 28, 1989",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e6904a03a66e711d,
Adrian Diaz,,11,4,1,177.8,145.0,,"Apr 26, 1988",0.48,0.42,3.84,0.51,2.4,0.5,0.0,0.0,http://www.ufcstats.com/fighter-details/bfa8f263815cfa2e,Southpaw
Adrian Serrano,,56,29,4,172.7,170.0,,"Dec 23, 1963",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e7ec11096eac0282,
Adrian Yanez,,17,6,0,170.2,135.0,177.8,"Nov 29, 1993",6.23,0.41,5.75,0.54,0.0,0.0,0.81,0.0,http://www.ufcstats.com/fighter-details/0232cabbc30a2372,Orthodox
Adriano Santos,,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c6e6926a81adcd00,
Adrienna Jenkins,AJ,19,6,0,172.7,145.0,,"Jul 22, 1981",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/dae85a6a83f53215,
Agulali,,13,2,0,175.3,125.0,170.2,"Apr 07, 2005",2.74,0.6,2.19,0.59,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/b2efa582adf73604,Switch
Ahejiang Ailinuer,,15,3,0,,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ff584c17bccbae0b,
Ahmad Hassanzada,Lion of the Ring,11,3,0,185.4,155.0,190.5,"Nov 20, 1996",3.16,0.39,4.42,0.38,2.43,0.19,0.0,1.2,http://www.ufcstats.com/fighter-details/bf7a64d9ae343e86,Orthodox
Aiemann Zahabi,,14,2,0,172.7,135.0,172.7,"Nov 19, 1987",4.54,0.47,4.08,0.69,0.12,0.14,0.83,0.0,http://www.ufcstats.com/fighter-details/24656ef4d605c96f,Orthodox
Ailin Perez,Fiona,12,2,0,165.1,135.0,167.6,"Oct 05, 1994",3.1,0.54,1.79,0.55,4.68,0.46,0.66,0.2,http://www.ufcstats.com/fighter-details/06e4245d16fc5315,Switch
Aisling Daly,Ais the Bash,16,6,0,157.5,115.0,162.6,"Dec 24, 1987",2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,http://www.ufcstats.com/fighter-details/e50cd77732d39967,Orthodox
Aji Susilo,,6,4,0,177.8,155.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/22af3546bd967280,
Akbarh Arreola,El Caballero,23,11,1,177.8,155.0,180.3,"Jan 14, 1983",2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,http://www.ufcstats.com/fighter-details/c136b2a8852da5bd,Southpaw
Akihiro Gono,,35,21,8,170.2,170.0,172.7,"Oct 07, 1974",2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,http://www.ufcstats.com/fighter-details/b2acebbef8da14ea,Switch
Akihito Tanaka,Kinniku Mantaro,2,2,0,,,,"Mar 09, 1983",0.19,0.5,2.05,0.38,5.59,0.66,0.0,0.0,http://www.ufcstats.com/fighter-details/1bf49bf829964144,Southpaw
Akira Corassani,,12,6,0,172.7,145.0,172.7,"Aug 27, 1982",3.25,0.45,4.91,0.5,0.7,0.28,0.86,0.0,http://www.ufcstats.com/fighter-details/3f52ce18fb98008f,Orthodox
Akira Shoji,,14,17,5,172.7,195.0,,"Jan 31, 1974",1.03,0.34,2.63,0.53,1.79,0.73,0.82,0.4,http://www.ufcstats.com/fighter-details/b0c95dc8e858452c,Orthodox
Akitoshi Tamura,The Ironman,21,18,2,175.3,135.0,177.8,"May 31, 1980",3.73,0.43,1.94,0.78,0.0,0.0,0.2,1.0,http://www.ufcstats.com/fighter-details/c95fbc085e17a532,Orthodox
Akiyo Nishiura,Wicky Akiyo,13,8,1,172.7,139.0,,"Aug 08, 1983",1.59,0.57,1.26,0.57,0.0,0.0,0.52,0.3,http://www.ufcstats.com/fighter-details/6c9383ffab2725a5,Southpaw
Al Iaquinta,Raging,14,7,1,177.8,155.0,177.8,"Apr 30, 1987",4.06,0.4,4.53,0.61,0.63,0.18,0.74,0.2,http://www.ufcstats.com/fighter-details/59279a7c978f7da0,Orthodox
Alain Van der Merckt,Top Boy,8,0,0,,185.0,,"Jun 11, 1993",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f6bbc6ba4f06ad60,
Alan Baudot,The Black Samourai,8,3,0,190.5,243.0,200.7,"Feb 01, 1988",5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0,http://www.ufcstats.com/fighter-details/c9a94278df042f46,Orthodox
Alan Belcher,The Talent,18,8,0,188.0,185.0,190.5,"Apr 24, 1984",2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,http://www.ufcstats.com/fighter-details/4130a743d9d22163,Orthodox
Alan Gomez,,2,0,0,,155.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0a66de3a797cf73a,
Alan Hiro,Yamaniha,14,5,4,165.1,135.0,,"Apr 04, 1986",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/483b3170b3c05cf0,Orthodox
Alan Omer,,20,5,0,177.8,145.0,,"Sep 14, 1988",3.49,0.55,2.21,0.64,1.69,0.42,0.66,0.0,http://www.ufcstats.com/fighter-details/f2ad06f1007c481a,Orthodox
Alan Patrick,Nuguette,15,4,0,180.3,155.0,188.0,"Jul 19, 1983",1.82,0.4,2.95,0.43,3.01,0.33,0.43,0.3,http://www.ufcstats.com/fighter-details/cd7763bcadb5d4c8,Southpaw
Alatengheili,The Mongolian Knight,17,10,2,165.1,135.0,167.6,"Dec 14, 1991",2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0,http://www.ufcstats.com/fighter-details/1897b7b913736a7c,Orthodox
Alavutdin Gadjiev,,18,13,1,188.0,185.0,,"Jun 23, 1982",0.99,0.27,0.99,0.57,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/a7a79b8efbceaaac,Orthodox
Albert Cheng,,7,4,0,180.3,170.0,,"Feb 07, 1985",1.0,0.41,2.6,0.71,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d8d7b24d276c8cb0,Orthodox
Albert Duraev,,16,5,0,180.3,185.0,190.5,"Jan 05, 1989",2.99,0.4,3.01,0.59,1.97,0.29,0.66,0.6,http://www.ufcstats.com/fighter-details/6b7c7460855dbbb9,Orthodox
Albert Rios,,13,6,0,172.7,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/868a78f2e810a837,
Albert Tadevosyan,Albeezy,13,3,1,,170.0,,"Apr 12, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6751b11102b6adfe,
Albert Tumenov,Einstein,18,4,0,180.3,170.0,185.4,"Dec 26, 1991",3.76,0.42,3.34,0.58,0.2,0.2,0.75,0.0,http://www.ufcstats.com/fighter-details/ff6a1f63c254127e,Orthodox
Alberto Crane,,15,5,0,165.1,155.0,,"Jul 14, 1976",0.43,0.25,2.61,0.57,0.0,0.0,0.5,4.0,http://www.ufcstats.com/fighter-details/25433871e4eee0f4,Orthodox
Alberto Uda,,12,2,0,190.5,185.0,,"Aug 08, 1984",1.79,0.52,3.49,0.45,2.83,0.5,0.66,0.0,http://www.ufcstats.com/fighter-details/8f2deefe8c5dfb5d,Orthodox
Alden Coria,Cobra,11,3,0,172.7,125.0,170.2,"Apr 24, 1998",3.89,0.44,1.11,0.78,2.78,1.0,0.75,0.0,http://www.ufcstats.com/fighter-details/5e9ca8dd7d783a75,Orthodox
Alejandro Flores,El Gallito,17,3,0,177.8,145.0,185.4,"Aug 06, 1991",3.66,0.4,2.02,0.54,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d23d5960ac5e117c,Orthodox
Alejandro Garcia,Alex,14,10,0,170.2,145.0,,"Oct 20, 1980",1.22,0.62,1.14,0.65,8.55,0.87,0.66,0.0,http://www.ufcstats.com/fighter-details/e5dc36e0aba7e9da,
Alejandro Perez,Turbo,23,9,1,167.6,135.0,170.2,"Sep 02, 1989",3.45,0.35,3.18,0.61,0.54,0.22,0.7,0.3,http://www.ufcstats.com/fighter-details/80daefbed11ce998,Orthodox
Alejandro Villalobos,,17,5,0,170.2,145.0,,"Oct 26, 1979",3.93,0.46,4.07,0.67,1.0,0.5,0.0,0.0,http://www.ufcstats.com/fighter-details/2e88f2030d8a928a,
Aleksa Camur,,6,3,0,185.4,205.0,188.0,"Sep 25, 1995",4.73,0.57,4.26,0.54,0.46,0.22,0.5,0.0,http://www.ufcstats.com/fighter-details/c2a670b22d2e196f,Orthodox
Aleksandar Rakic,Rocket,14,6,0,193.0,205.0,198.1,"Feb 06, 1992",4.13,0.5,2.86,0.51,0.64,0.21,0.85,0.1,http://www.ufcstats.com/fighter-details/333b9e5c723ac873,Orthodox
Aleksander Emelianenko,,23,7,0,198.1,255.0,,"Aug 02, 1981",2.75,0.41,1.7,0.65,2.32,0.72,0.66,0.9,http://www.ufcstats.com/fighter-details/f54200f1dfb9b5d4,Orthodox
Aleksandra Albu,Stitch,3,2,0,157.5,115.0,160.0,"Jul 14, 1990",4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,Orthodox
Aleksandre Topuria,El Conquistador,7,1,0,170.2,135.0,172.7,"Jan 28, 1996",2.93,0.55,2.57,0.68,1.5,0.33,1.0,0.0,http://www.ufcstats.com/fighter-details/4a6dff1b260bcf61,Orthodox
Aleksei Oleinik,The Boa Constrictor,60,17,1,188.0,240.0,203.2,"Jun 20, 1977",3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9,http://www.ufcstats.com/fighter-details/98c23cb6da5b3352,Orthodox
Alen Amedovski,,8,4,0,177.8,185.0,188.0,"Apr 06, 1988",0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/70fa1c64a2c439ef,Orthodox
Alessandro Costa,Nono,14,5,0,162.6,125.0,170.2,"Jan 28, 1996",3.64,0.44,3.57,0.57,0.46,0.16,0.83,0.5,http://www.ufcstats.com/fighter-details/3fa97913cfd205d3,Orthodox
Alessio Di Chirico,Manzo,13,7,0,182.9,185.0,188.0,"Dec 12, 1989",3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Orthodox
Alessio Sakara,Legionarius,19,11,0,182.9,185.0,182.9,"Sep 02, 1981",3.96,0.47,2.8,0.59,2.18,0.78,0.62,0.0,http://www.ufcstats.com/fighter-details/7f955f71fa2ce7ac,Orthodox
Alex Andrade,El Toro,10,5,0,180.3,200.0,,"May 14, 1974",0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,http://www.ufcstats.com/fighter-details/1562b12763cc8d67,Orthodox
Alex Caceres,Bruce Leeroy,21,15,0,177.8,145.0,185.4,"Jun 20, 1988",4.21,0.49,3.09,0.62,0.54,0.68,0.64,0.7,http://www.ufcstats.com/fighter-details/7aa3d6964eff4877,Southpaw
Alex Chambers,Astro Girl,5,5,0,160.0,115.0,160.0,"Oct 25, 1978",2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,http://www.ufcstats.com/fighter-details/26b63bc5c0c1f65d,Southpaw
Alex Crispin,,0,1,0,,155.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/8944a0f9b2f0ce6d,
Alex Da Silva,Leko,21,4,0,172.7,155.0,185.4,"Feb 04, 1996",2.14,0.46,2.52,0.56,1.97,0.43,0.76,0.3,http://www.ufcstats.com/fighter-details/c3ded6f7155f9ea4,Orthodox
Alex Dunworth,,2,2,0,172.7,155.0,,,1.94,0.31,8.71,0.35,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/31732a614e7a3d1d,
Alex Enlund,,14,2,0,177.8,145.0,,"May 27, 1987",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d238217e0f8ea8e1,Orthodox
Alex Garcia,The Dominican Nightmare,15,6,0,175.3,170.0,182.9,"Jul 14, 1987",1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,http://www.ufcstats.com/fighter-details/a2b12c3f3d60ff69,Orthodox
Alex Gilpin,,11,1,0,170.2,145.0,,"Mar 26, 1992",6.8,0.54,12.29,0.42,2.17,0.25,0.0,2.2,http://www.ufcstats.com/fighter-details/762c69860eef65d8,Orthodox
Alex Gorgees,Hitman,6,1,0,188.0,155.0,188.0,"Aug 11, 1995",0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0,http://www.ufcstats.com/fighter-details/803bebcfb6d6f506,Switch
Alex Higley,,4,3,0,177.8,145.0,,,0.29,1.0,1.74,0.6,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/2af2d675f7d847e3,
Alex Huddleston,The Shaved Gorilla,6,2,0,200.7,254.0,,"Aug 11, 1986",2.47,0.42,2.59,0.67,0.0,0.0,0.0,0.9,http://www.ufcstats.com/fighter-details/8b9197746bd3e005,
Alex Hunter,,2,0,0,175.3,226.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/baa5358456803df8,Orthodox
Alex Nicholson,The Spartan,7,4,0,193.0,185.0,195.6,"May 02, 1990",4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5,http://www.ufcstats.com/fighter-details/2b6d855c6e280fb1,Orthodox
Alex Oliveira,Cowboy,22,12,1,180.3,170.0,193.0,"Feb 21, 1988",2.99,0.51,2.55,0.46,2.35,0.38,0.63,0.6,http://www.ufcstats.com/fighter-details/57b10fca4f9c9a7a,Orthodox
Alex Pereira,Poatan,13,3,0,193.0,205.0,200.7,"Jul 07, 1987",5.16,0.62,3.5,0.53,0.11,0.5,0.79,0.2,http://www.ufcstats.com/fighter-details/e5549c82bfb5582d,Orthodox
Alex Perez,,26,10,0,167.6,125.0,165.1,"Mar 21, 1992",4.41,0.46,3.2,0.59,2.21,0.48,0.75,0.7,http://www.ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,Orthodox
Alex Reyes,The Executioner,13,5,0,180.3,155.0,185.4,"Oct 02, 1986",4.46,0.46,6.92,0.48,1.5,0.28,0.0,0.0,http://www.ufcstats.com/fighter-details/dc07493a87dc0a6e,Orthodox
Alex Ricci,,10,5,0,180.3,155.0,,"Jul 21, 1982",2.48,0.41,2.53,0.64,0.0,0.0,0.64,0.0,http://www.ufcstats.com/fighter-details/bf9bc96336922271,Orthodox
Alex Schoenauer,,15,10,0,190.5,185.0,,"May 05, 1976",1.22,0.4,2.27,0.42,0.0,0.0,0.22,4.9,http://www.ufcstats.com/fighter-details/fdfef29ba17ee525,Orthodox
Alex Serdyukov,The Russian Crusher,8,5,0,188.0,170.0,188.0,"May 24, 1980",4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8,http://www.ufcstats.com/fighter-details/253d3f9e97ca149a,Orthodox
Alex Soto,Extremo,8,3,1,172.7,135.0,,"Feb 15, 1984",2.95,0.25,5.02,0.59,2.82,0.3,0.0,0.0,http://www.ufcstats.com/fighter-details/d18dbcb0f8e2b55d,Southpaw
Alex Stiebling,The Brazilian Killa,19,11,1,188.0,205.0,,"Dec 26, 1976",1.77,0.42,1.45,0.52,0.35,0.66,0.66,0.7,http://www.ufcstats.com/fighter-details/df5a77121ba84a5d,Southpaw
Alex Torres,Rolo,5,4,0,177.8,145.0,,"May 29, 1988",2.47,0.37,2.73,0.69,2.0,0.22,0.5,0.0,http://www.ufcstats.com/fighter-details/e4e0f310b3cf23a8,Orthodox
Alex White,The Spartan,13,6,0,182.9,155.0,180.3,"Oct 22, 1988",3.76,0.42,3.07,0.6,0.92,0.28,0.71,0.5,http://www.ufcstats.com/fighter-details/c17041f1bb5768d8,Southpaw
Alex Zuniga,,6,3,0,,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/02d808afb96669de,
Alexa Grasso,,16,5,1,165.1,125.0,167.6,"Aug 09, 1993",4.11,0.41,3.73,0.58,0.41,0.35,0.54,0.6,http://www.ufcstats.com/fighter-details/e8b731feff72294b,Orthodox
Alexander Crispim,,8,6,0,,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/15dedd05f8bcb475,
Alexander Gustafsson,The Mauler,18,8,0,195.6,205.0,200.7,"Jan 15, 1987",4.03,0.4,3.53,0.51,1.53,0.39,0.83,0.4,http://www.ufcstats.com/fighter-details/3c6976f8182d9527,Orthodox
Alexander Hernandez,El Gran Chango,18,8,0,175.3,155.0,182.9,"Oct 01, 1992",4.31,0.4,4.5,0.59,1.14,0.36,0.73,0.1,http://www.ufcstats.com/fighter-details/262a7d06203657e6,Orthodox
Alexander Otsuka,The Diet Butcher,5,13,0,185.4,205.0,,"Jul 17, 1971",0.9,0.55,1.16,0.51,1.51,0.43,0.53,0.8,http://www.ufcstats.com/fighter-details/865aa315ea62c511,Orthodox
Alexander Poppeck,,9,3,0,188.0,205.0,,"Apr 06, 1992",4.01,0.57,9.81,0.33,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/56bf3ed155bd0fcd,Orthodox
