Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL,Stance
Aoriqileng,The Mongolian Murderer,26,12,0,170.2,135.0,175.3,"Jun 25, 1993",4.69,0.49,5.47,0.48,1.2,0.46,0.58,0.0,http://www.ufcstats.com/fighter-details/7d420039bbfe7c1a,Orthodox
Jose Aldo,,32,10,0,170.2,135.0,177.8,"Sep 09, 1986",3.65,0.46,3.81,0.6,0.47,0.51,0.92,0.1,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,Orthodox
Shinya Aoki,Tobikan Judan,39,7,0,180.3,154.0,,"May 09, 1983",0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,http://www.ufcstats.com/fighter-details/79ded75550efc139,Southpaw
Yaroslav Amosov,,29,1,0,182.9,170.0,190.5,"Sep 09, 1993",2.78,0.47,1.55,0.54,4.64,0.5,0.0,4.6,http://www.ufcstats.com/fighter-details/f139d6836efd43dd,Orthodox
Magomed Ankalaev,,21,2,1,190.5,205.0,190.5,"Jun 02, 1992",3.65,0.52,2.59,0.56,0.79,0.22,0.87,0.0,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e,Orthodox
Olivier Aubin-Mercier,The Canadian Gangster,11,5,0,175.3,155.0,177.8,"Feb 23, 1989",2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,http://www.ufcstats.com/fighter-details/55ee431411ccf07a,Southpaw
Shinsho Anzai,Animal,10,3,0,170.2,170.0,177.8,"Dec 01, 1985",3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,http://www.ufcstats.com/fighter-details/4665f9f909cd7214,Orthodox
Aleksandra Albu,Stitch,3,2,0,157.5,115.0,160.0,"Jul 14, 1990",4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,Orthodox
Omari Akhmedov,Wolverine,21,6,1,182.9,185.0,185.4,"Oct 12, 1987",2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,http://www.ufcstats.com/fighter-details/16690d100f995f8f,Orthodox
Olaf Alfonso,,8,12,0,188.0,170.0,,"Aug 06, 1974",1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,http://www.ufcstats.com/fighter-details/b757c73f443d4fca,Orthodox
Javi Alanis,,0,4,0,167.6,135.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/2144954270be834d,
Jaime Alvarez,,6,1,0,172.7,125.0,175.3,"Mar 08, 1988",2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,http://www.ufcstats.com/fighter-details/4438482bd1d5a029,Orthodox
Eddie Alvarez,,29,6,0,175.3,155.0,175.3,"Jan 11, 1984",4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,http://www.ufcstats.com/fighter-details/33a331684283900f,Orthodox
Jose Alday,Pochito,14,6,1,170.2,135.0,172.7,"Sep 14, 1991",3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0,http://www.ufcstats.com/fighter-details/7460ddef986d3144,Orthodox
Liam Anderson,,6,3,0,190.5,185.0,190.5,"Jan 13, 1995",3.0,0.52,6.53,0.31,1.0,0.2,0.5,0.0,http://www.ufcstats.com/fighter-details/b03a0c78ca45facf,Orthodox
Amir Aliakbari,,10,1,0,190.5,250.0,,"Jun 10, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e17770faae3ca54c,
Rafael Alves,The Turn,20,12,0,172.7,155.0,172.7,"Nov 14, 1990",1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,http://www.ufcstats.com/fighter-details/029afd138865d20a,Orthodox
Marcelo Aguiar,,2,3,1,177.8,170.0,,"Jan 20, 1969",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/44aa652b181bcf68,Orthodox
Chad Anheliger,The Monster,13,8,0,167.6,135.0,162.6,"Dec 01, 1986",3.11,0.46,2.76,0.53,0.68,0.3,0.38,0.5,http://www.ufcstats.com/fighter-details/c7c39e2fb70248b3,Orthodox
Brendan Allen,All In,26,7,0,188.0,185.0,190.5,"Dec 28, 1995",3.59,0.53,3.62,0.47,1.56,0.42,0.56,1.1,http://www.ufcstats.com/fighter-details/2f181c0467965b98,Orthodox
Megan Anderson,,11,5,0,182.9,145.0,182.9,"Feb 11, 1990",1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,http://www.ufcstats.com/fighter-details/a0e75f4a13eb73f1,Orthodox
Ali AlQaisi,The Royal Fighter,8,5,0,167.6,135.0,172.7,"Sep 23, 1990",2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,http://www.ufcstats.com/fighter-details/e87a13e02c01331d,Orthodox
Ottman Azaitar,Bulldozer,13,3,0,172.7,155.0,180.3,"Feb 20, 1990",4.43,0.44,4.11,0.52,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/ee18ff42063174df,Switch
Erik Apple,,10,3,0,182.9,170.0,,"Aug 26, 1977",0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,http://www.ufcstats.com/fighter-details/1ccff7f0cfdf85eb,Orthodox
Anthony Avila,,13,5,0,170.2,145.0,,"Dec 29, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/033d19259f589457,
Ahejiang Ailinuer,,15,3,0,,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ff584c17bccbae0b,
Andre Amado,Dida,6,4,1,182.9,154.0,,"Oct 09, 1983",2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,http://www.ufcstats.com/fighter-details/20821819c401ced8,Orthodox
Fabio Aguiar,,17,1,0,182.9,185.0,,"Feb 10, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/501821d7fb7b95c1,
Alice Ardelean,,11,7,0,160.0,115.0,157.5,"Apr 19, 1992",7.35,0.45,5.2,0.62,1.0,0.44,0.85,0.0,http://www.ufcstats.com/fighter-details/87f8699fdcc2c404,Orthodox
Victor Altamirano,El Magnifico,12,5,0,172.7,125.0,177.8,"Jan 23, 1991",4.58,0.53,3.82,0.53,2.88,0.38,0.63,0.0,http://www.ufcstats.com/fighter-details/dc7927cd622676a7,Switch
Derek Anderson,Barbaric,14,3,0,182.9,155.0,,"Feb 02, 1990",3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,http://www.ufcstats.com/fighter-details/19ba965651486013,
Alen Amedovski,,8,4,0,177.8,185.0,188.0,"Apr 06, 1988",0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/70fa1c64a2c439ef,Orthodox
Antonio Arroyo,,9,5,0,190.5,185.0,185.4,"Jul 01, 1989",2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2,http://www.ufcstats.com/fighter-details/61fb8098ccf81c7f,Orthodox
Mansur Abdul-Malik,,9,0,1,188.0,185.0,203.2,"Oct 07, 1997",4.18,0.48,3.46,0.51,0.94,0.5,0.83,0.5,http://www.ufcstats.com/fighter-details/841695e02c99a521,Orthodox
Eli Aronov,The Israeli Tank,6,1,0,177.8,185.0,182.9,"Jun 06, 1996",8.92,0.68,6.49,0.38,12.16,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/a90c200c3fbb22c4,Orthodox
Ben Alloway,Blanco,18,8,0,180.3,170.0,193.0,"Feb 19, 1981",1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,http://www.ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Orthodox
Rich Attonito,The Raging Bull,10,5,0,177.8,170.0,182.9,"Jun 16, 1977",2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,http://www.ufcstats.com/fighter-details/210935fd21670f6d,Orthodox
Arman Ashimov,Mustafa Ozturik,11,3,1,167.6,125.0,,"Jan 14, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d26a0988c9dc9886,
Igor Araujo,,25,9,0,185.4,170.0,195.6,"Dec 06, 1980",1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,http://www.ufcstats.com/fighter-details/dbea8c1cb327ab3d,Orthodox
Shamil Abdurakhimov,Abrek,20,8,0,190.5,235.0,193.0,"Sep 02, 1981",2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Orthodox
Cesar Arzamendia,Goku,8,3,0,180.3,155.0,,"Jan 31, 1991",5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,http://www.ufcstats.com/fighter-details/49f78022126bf4a4,Orthodox
Teddy Ash,Bear,14,5,0,185.4,185.0,185.4,"Dec 27, 1989",7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/a373085066dbfb54,Switch
Asu Almabayev,Zulfikar,23,3,0,162.6,125.0,165.1,"Jan 25, 1994",2.31,0.5,1.99,0.53,4.46,0.42,0.44,1.5,http://www.ufcstats.com/fighter-details/8d3273573b85be09,Orthodox
Edwin Aguilar,Tigre,26,19,0,177.8,185.0,,"Jan 01, 1972",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6cadc0a0ba7dc015,
Karl Amoussou,The Psycho,27,7,2,180.3,185.0,,"Nov 21, 1985",1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,http://www.ufcstats.com/fighter-details/23a8c33869bf5392,Orthodox
Ricardo Arona,The Brazilian Tiger,14,5,0,180.3,205.0,,"Jul 17, 1978",1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,http://www.ufcstats.com/fighter-details/05fbfe628658c538,Orthodox
Eryk Anders,Ya Boi,17,9,0,185.4,185.0,190.5,"Apr 21, 1987",3.51,0.48,4.09,0.5,1.75,0.24,0.8,0.1,http://www.ufcstats.com/fighter-details/cad24459b28592ca,Southpaw
